time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,5.01759389427e-08,6.10433612427e-07,10.0017486805,0.000523544879656,6.2831035145,0.0,5.4481748741e-06,4.93366237637e-05,0.0582875950532,0.0221054834079,-0.00423963860802,0.0,424.30225770635366,423.93822149817885,421.843818026071,423.7479338256811
0.12000000000000001,3.42528828791e-06,2.30620038197e-05,10.0105297235,0.0029313864009,6.28257301733,0.0,0.000149118224445,0.000925995269832,0.234393125669,0.0625462857712,-0.0201570472786,0.0,460.7447965519358,459.4849676725677,459.13472786231154,462.33214030360955
0.18,3.05902159646e-05,0.000157813489659,10.028792217,0.00658082430722,6.28143045865,0.0,0.000883172838301,0.00396529054536,0.374318721709,0.0571371156106,-0.0169022856339,0.0,448.74147542706567,449.0056089444791,450.2788826319124,449.8437310872526
0.23999999999999996,0.000127494778658,0.000559368328332,10.0562139713,0.0103500741253,6.28045065238,0.0,0.0024581801753,0.00982347065557,0.539672270158,0.0722741876476,-0.015209674693,0.0,458.1136197947462,458.24826317252996,455.9034834196872,457.11383339332707
0.3,0.000335465427049,0.00138129834085,10.0917623329,0.0149210292064,6.2795316057,0.0,0.00456819309778,0.0180325358938,0.64521313708,0.0830309505977,-0.0155338506732,0.0,438.630639936239,438.60381843287377,438.9177397883289,439.8140421668296
0.36000000000000004,0.000689793687782,0.00279537066913,10.1337831256,0.0197702162836,6.27821941963,0.0,0.00735382212255,0.0296113706533,0.755404059103,0.0759869143609,-0.039211795265,0.0,441.7395422420378,439.7828495803884,440.7279118005027,440.1507340945859
0.4200000000000001,0.00124542041425,0.00501009190412,10.1826997654,0.0242059923751,6.27622335882,0.0,0.0113926111249,0.0446830566416,0.875054547008,0.0694627291495,-0.0234515443431,0.0,442.30163444243277,443.59703678943725,444.80601183145103,444.27572672773675
0.48000000000000015,0.0020657110182,0.00816436455659,10.2364593334,0.0290205202698,6.27456878998,0.0,0.0160916477235,0.0608832954741,0.916885706722,0.0959456363479,-0.0374588836789,0.0,418.87380832262164,417.65377577711416,418.39586438899653,420.7002707493256
0.5400000000000001,0.00321142196684,0.012418164798,10.2937788745,0.03480179748,6.272532178,0.0,0.0223085782155,0.0814764977938,0.993681294113,0.0971596829955,-0.0277067612106,0.0,429.6323923457171,430.45780411799166,430.8112352031763,430.922107232321
0.6000000000000002,0.0048157613411,0.0181785487592,10.360026289,0.0407857669372,6.2712623561,0.0,0.0313399769154,0.111236894444,1.21432810376,0.104434272822,-0.0105357405907,0.0,473.91042248934764,475.2282611434687,474.78277372591276,475.34834918480453
0.6600000000000003,0.00698576320963,0.0258641548761,10.4393315583,0.0467276319584,6.27120718851,0.0,0.0410256057213,0.145668975238,1.42890335117,0.0851288968002,0.0134997986441,0.0,473.07145008739974,474.9184225569122,473.84819274337576,472.3695743372601
0.7200000000000003,0.00966936523482,0.0354988199005,10.5261592819,0.0520337461184,6.27196414448,0.0,0.0483544545491,0.175966270845,1.46528289232,0.0943370449752,0.0107869124988,0.0,419.3595413918938,419.1237374409069,417.4839199762564,418.29352647689217
0.7800000000000004,0.0128021774335,0.0471662376077,10.6173037725,0.0578950152194,6.27204955029,0.0,0.0560157596148,0.213533611713,1.57268962387,0.103660192404,-0.0340779005831,0.0,443.7045375858385,440.00618744356797,441.193328626257,441.9705473924126
0.8400000000000004,0.0164082029622,0.061233816401,10.7152589169,0.0639698082798,6.26962581901,0.0,0.0644129117187,0.256019188278,1.6922654443,0.0959248031844,-0.057661039948,0.0,445.8294019968337,443.89750922200636,447.31695863939103,446.6954274508353
0.9000000000000005,0.0205587051266,0.0779021306818,10.8192217707,0.069770423654,6.2662035887,0.0,0.0742771417141,0.300153702962,1.7729917294,0.0981391626524,-0.0558182484329,0.0,433.4029554328952,433.55547591046803,434.6365518587831,434.83029419393114
0.9600000000000005,0.0254447776425,0.0976528375353,10.9324930842,0.0759100222005,6.26461387234,0.0,0.0888497697332,0.358903067624,2.00227807417,0.109600680573,0.00315742873411,0.0,477.7725668038217,482.24700937625727,479.19614580288385,480.07473295443873
1.0200000000000005,0.0311365577379,0.120686471781,11.054397879,0.0825037242057,6.26509428456,0.0,0.100840254235,0.409504609301,2.06105176103,0.110476822556,0.0162725645246,0.0,427.55686490862206,428.67263409031295,428.5454307987546,428.63105110348414
1.0800000000000005,0.0375899002052,0.147140650691,11.1828781842,0.0892110858605,6.26669703672,0.0,0.114115525568,0.473011409932,2.22125255601,0.114290917373,0.0420520975091,0.0,459.5208661408169,461.5599349851846,460.4843736939056,460.79656707795067
1.1400000000000006,0.0447530598913,0.177305718426,11.3181948675,0.0963412256025,6.26962124638,0.0,0.124385128813,0.53315471269,2.28909635307,0.126645281083,0.0595506927696,0.0,431.8221516367141,433.29718381110104,431.87021940429526,432.9240042017292
1.2000000000000006,0.0525118870613,0.211530909302,11.4607250138,0.104047468875,6.2732668262,0.0,0.133828106776,0.608505923261,2.46145046399,0.131796843749,0.0630731602534,0.0,464.67549496542307,464.95398095888453,465.9988735206157,466.415591196349
1.2600000000000007,0.0607717882726,0.250672256503,11.6156352609,0.111363107602,6.27696607388,0.0,0.141034083733,0.697102509827,2.70155874276,0.0789280766693,0.0586547011129,0.0,485.72102847794537,485.39193214306084,489.22412519904964,485.2823858387397
